Dolar,Euro,BTC,Data
5,6303,,,03/01/2022
5,2804,,,01/02/2022
5,1341,,,02/03/2022
4,6978,,,01/04/2022
5,0260,,,02/05/2022
4,7759,,,01/06/2022
